Year,Locality,Avg Price (₹/sq.ft)
2015,Andheri West," INR 23,795.00 "
2016,Andheri West," INR 24,762.58 "
2017,Andheri West," INR 25,769.51 "
2018,Andheri West," INR 26,817.38 "
2019,Andheri West," INR 27,907.86 "
2020,Andheri West," INR 29,042.69 "
2021,Andheri West," INR 30,223.66 "
2022,Andheri West," INR 31,452.65 "
2023,Andheri West," INR 32,731.62 "
2024,Andheri West," INR 34,062.59 "
2025,Andheri West," INR 45,440.00 "
2015,Bandra West," INR 8,860.00 "
2016,Bandra West," INR 9,631.80 "
2017,Bandra West," INR 10,470.82 "
2018,Bandra West," INR 11,382.94 "
2019,Bandra West," INR 12,374.50 "
2020,Bandra West," INR 13,452.45 "
2021,Bandra West," INR 14,624.29 "
2022,Bandra West," INR 15,898.22 "
2023,Bandra West," INR 17,283.11 "
2024,Bandra West," INR 18,788.64 "
2025,Bandra West," INR 20,425.33 "
2015,Borivali West," INR 13,390.00 "
2016,Borivali West," INR 14,302.72 "
2017,Borivali West," INR 15,277.66 "
2018,Borivali West," INR 16,319.05 "
2019,Borivali West," INR 17,431.43 "
2020,Borivali West," INR 18,619.63 "
2021,Borivali West," INR 19,888.83 "
2022,Borivali West," INR 21,244.54 "
2023,Borivali West," INR 22,692.66 "
2024,Borivali West," INR 24,239.49 "
2025,Borivali West," INR 25,891.76 "
2015,Dadar," INR 19,964.00 "
2016,Dadar," INR 21,147.28 "
2017,Dadar," INR 22,400.70 "
2018,Dadar," INR 23,728.41 "
2019,Dadar," INR 25,134.81 "
2020,Dadar," INR 26,624.57 "
2021,Dadar," INR 28,202.63 "
2022,Dadar," INR 29,874.22 "
2023,Dadar," INR 31,644.89 "
2024,Dadar," INR 33,520.51 "
2025,Dadar," INR 35,507.30 "
2015,Goregaon East," INR 19,284.00 "
2016,Goregaon East," INR 20,070.75 "
2017,Goregaon East," INR 20,889.61 "
2018,Goregaon East," INR 21,741.87 "
2019,Goregaon East," INR 22,628.90 "
2020,Goregaon East," INR 23,552.12 "
2021,Goregaon East," INR 24,513.01 "
2022,Goregaon East," INR 25,513.10 "
2023,Goregaon East," INR 26,553.99 "
2024,Goregaon East," INR 27,637.35 "
2025,Goregaon East," INR 28,764.90 "
2015,Jogeshwari," INR 14,265.00 "
2016,Jogeshwari," INR 15,000.29 "
2017,Jogeshwari," INR 15,773.47 "
2018,Jogeshwari," INR 16,586.51 "
2019,Jogeshwari," INR 17,441.46 "
2020,Jogeshwari," INR 18,340.47 "
2021,Jogeshwari," INR 19,285.82 "
2022,Jogeshwari," INR 20,279.91 "
2023,Jogeshwari," INR 21,325.23 "
2024,Jogeshwari," INR 22,424.43 "
2025,Jogeshwari," INR 23,580.29 "
2015,Juhu," INR 24,850.00 "
2016,Juhu," INR 26,143.47 "
2017,Juhu," INR 27,504.28 "
2018,Juhu," INR 28,935.91 "
2019,Juhu," INR 30,442.06 "
2020,Juhu," INR 32,026.61 "
2021,Juhu," INR 33,693.63 "
2022,Juhu," INR 35,447.43 "
2023,Juhu," INR 37,292.51 "
2024,Juhu," INR 39,233.64 "
2025,Juhu," INR 41,275.80 "
2015,Kandivali East," INR 12,426.00 "
2016,Kandivali East," INR 13,347.55 "
2017,Kandivali East," INR 14,337.45 "
2018,Kandivali East," INR 15,400.76 "
2019,Kandivali East," INR 16,542.93 "
2020,Kandivali East," INR 17,769.80 "
2021,Kandivali East," INR 19,087.67 "
2022,Kandivali East," INR 20,503.27 "
2023,Kandivali East," INR 22,023.86 "
2024,Kandivali East," INR 23,657.22 "
2025,Kandivali East," INR 25,411.71 "
2015,Khar West," INR 22,423.00 "
2016,Khar West," INR 24,003.82 "
2017,Khar West," INR 25,696.08 "
2018,Khar West," INR 27,507.65 "
2019,Khar West," INR 29,446.94 "
2020,Khar West," INR 31,522.94 "
2021,Khar West," INR 33,745.30 "
2022,Khar West," INR 36,124.34 "
2023,Khar West," INR 38,671.10 "
2024,Khar West," INR 41,397.41 "
2025,Khar West," INR 37,000.00 "
2015,Kurla," INR 19,363.00 "
2016,Kurla," INR 20,944.18 "
2017,Kurla," INR 22,654.47 "
2018,Kurla," INR 24,504.43 "
2019,Kurla," INR 26,505.46 "
2020,Kurla," INR 28,669.89 "
2021,Kurla," INR 31,011.06 "
2022,Kurla," INR 33,543.42 "
2023,Kurla," INR 36,282.57 "
2024,Kurla," INR 39,245.39 "
2025,Kurla," INR 42,450.16 "
2015,Malad West," INR 24,023.00 "
2016,Malad West," INR 25,192.16 "
2017,Malad West," INR 26,418.21 "
2018,Malad West," INR 27,703.94 "
2019,Malad West," INR 29,052.24 "
2020,Malad West," INR 30,466.17 "
2021,Malad West," INR 31,948.90 "
2022,Malad West," INR 33,503.80 "
2023,Malad West," INR 35,134.37 "
2024,Malad West," INR 36,844.29 "
2025,Malad West," INR 38,637.44 "
2015,Mira Road," INR 16,322.00 "
2016,Mira Road," INR 17,294.02 "
2017,Mira Road," INR 18,323.94 "
2018,Mira Road," INR 19,415.18 "
2019,Mira Road," INR 20,571.41 "
2020,Mira Road," INR 21,796.51 "
2021,Mira Road," INR 23,094.55 "
2022,Mira Road," INR 24,469.90 "
2023,Mira Road," INR 25,927.16 "
2024,Mira Road," INR 27,471.20 "
2025,Mira Road," INR 29,107.19 "
2015,Mulund," INR 9,685.00 "
2016,Mulund," INR 10,160.65 "
2017,Mulund," INR 10,659.66 "
2018,Mulund," INR 11,183.17 "
2019,Mulund," INR 11,732.40 "
2020,Mulund," INR 12,308.60 "
2021,Mulund," INR 12,913.09 "
2022,Mulund," INR 13,547.28 "
2023,Mulund," INR 14,212.61 "
2024,Mulund," INR 14,910.62 "
2025,Mulund," INR 15,642.90 "
2015,Panvel," INR 8,769.00 "
2016,Panvel," INR 9,450.95 "
2017,Panvel," INR 10,185.93 "
2018,Panvel," INR 10,978.07 "
2019,Panvel," INR 11,831.81 "
2020,Panvel," INR 12,751.95 "
2021,Panvel," INR 13,743.65 "
2022,Panvel," INR 14,812.46 "
2023,Panvel," INR 15,964.40 "
2024,Panvel," INR 17,205.92 "
2025,Panvel," INR 12,500.00 "
2015,Powai," INR 10,433.00 "
2016,Powai," INR 11,072.10 "
2017,Powai," INR 11,750.36 "
2018,Powai," INR 12,470.16 "
2019,Powai," INR 13,234.05 "
2020,Powai," INR 14,044.74 "
2021,Powai," INR 14,905.09 "
2022,Powai," INR 15,818.14 "
2023,Powai," INR 16,787.13 "
2024,Powai," INR 17,815.47 "
2025,Powai," INR 18,906.80 "
2015,Santacruz West," INR 13,311.00 "
2016,Santacruz West," INR 13,981.84 "
2017,Santacruz West," INR 14,686.48 "
2018,Santacruz West," INR 15,426.64 "
2019,Santacruz West," INR 16,204.09 "
2020,Santacruz West," INR 17,020.73 "
2021,Santacruz West," INR 17,878.53 "
2022,Santacruz West," INR 18,779.55 "
2023,Santacruz West," INR 19,725.99 "
2024,Santacruz West," INR 20,720.12 "
2025,Santacruz West," INR 21,764.35 "
2015,Thane West," INR 13,051.00 "
2016,Thane West," INR 13,943.49 "
2017,Thane West," INR 14,897.02 "
2018,Thane West," INR 15,915.75 "
2019,Thane West," INR 17,004.15 "
2020,Thane West," INR 18,166.98 "
2021,Thane West," INR 19,409.33 "
2022,Thane West," INR 20,736.64 "
2023,Thane West," INR 22,154.71 "
2024,Thane West," INR 23,669.76 "
