Year,Locality,Avg Price (₹/sq.ft)
2015,Andheri West," INR 23,795.00 "
2016,Andheri West," INR 24,762.58 "
2017,Andheri West," INR 25,769.51 "
2018,Andheri West," INR 26,817.38 "
2019,Andheri West," INR 27,907.86 "
2020,Andheri West," INR 29,042.69 "
2021,Andheri West," INR 30,223.66 "
2022,Andheri West," INR 31,452.65 "
2023,Andheri West," INR 32,731.62 "
2024,Andheri West," INR 34,062.59 "
2025,Andheri West," INR 45,440.00 "
2015,Bandra West," INR 60,262.50 "
2016,Bandra West," INR 58,612.50 "
2017,Bandra West," INR 60,487.50 "
2018,Bandra West," INR 56,675.00 "
2019,Bandra West," INR 56,287.50 "
2020,Bandra West," INR 53,225.00 "
2021,Bandra West," INR 53,825.00 "
2022,Bandra West," INR 53,275.00 "
2023,Bandra West," INR 56,662.50 "
2024,Bandra West," INR 57,287.50 "
2025,Bandra West," INR 59,116.67 "
2015,Borivali West," INR 22,700.00 "
2016,Borivali West," INR 22,400.00 "
2017,Borivali West," INR 23,900.00 "
2018,Borivali West," INR 25,087.50 "
2019,Borivali West," INR 24,850.00 "
2020,Borivali West," INR 25,275.00 "
2021,Borivali West," INR 25,125.00 "
2022,Borivali West," INR 25,725.00 "
2023,Borivali West," INR 27,925.00 "
2024,Borivali West," INR 29,162.50 "
2025,Borivali West," INR 30,916.67 "
2015,Dadar," INR 47,212.50 "
2016,Dadar," INR 52,262.50 "
2017,Dadar," INR 50,325.00 "
2018,Dadar," INR 51,175.00 "
2019,Dadar," INR 48,287.50 "
2020,Dadar," INR 45,900.00 "
2021,Dadar," INR 48,100.00 "
2022,Dadar," INR 49,637.50 "
2023,Dadar," INR 52,725.00 "
2024,Dadar," INR 50,262.50 "
2025,Dadar," INR 52,083.34 "
2015,Goregaon East," INR 24,637.50 "
2016,Goregaon East," INR 25,075.00 "
2017,Goregaon East," INR 25,625.00 "
2018,Goregaon East," INR 26,425.00 "
2019,Goregaon East," INR 25,337.50 "
2020,Goregaon East," INR 25,012.50 "
2021,Goregaon East," INR 25,337.50 "
2022,Goregaon East," INR 27,212.50 "
2023,Goregaon East," INR 28,200.00 "
2024,Goregaon East," INR 30,525.00 "
2025,Goregaon East," INR 31,233.34 "
2015,Jogeshwari," INR 19,516.67 "
2016,Jogeshwari," INR 22,550.00 "
2017,Jogeshwari," INR 17,487.50 "
2018,Jogeshwari," INR 25,412.50 "
2019,Jogeshwari," INR 24,250.00 "
2020,Jogeshwari," INR 23,700.00 "
2021,Jogeshwari," INR 24,075.00 "
2022,Jogeshwari," INR 24,950.00 "
2023,Jogeshwari," INR 26,237.50 "
2024,Jogeshwari," INR 27,337.50 "
2025,Jogeshwari," INR 29,133.33 "
2015,Juhu," INR 52,062.50 "
2016,Juhu," INR 51,337.50 "
2017,Juhu," INR 53,875.00 "
2018,Juhu," INR 53,162.50 "
2019,Juhu," INR 51,637.50 "
2020,Juhu," INR 52,500.00 "
2021,Juhu," INR 51,625.00 "
2022,Juhu," INR 52,950.00 "
2023,Juhu," INR 55,362.50 "
2024,Juhu," INR 58,387.50 "
2025,Juhu," INR 58,900.00 "
2015,Kandivali East," INR 21,237.50 "
2016,Kandivali East," INR 21,687.50 "
2017,Kandivali East," INR 22,200.00 "
2018,Kandivali East," INR 22,225.00 "
2019,Kandivali East," INR 22,487.50 "
2020,Kandivali East," INR 22,700.00 "
2021,Kandivali East," INR 22,762.50 "
2022,Kandivali East," INR 23,950.00 "
2023,Kandivali East," INR 25,450.00 "
2024,Kandivali East," INR 27,350.00 "
2025,Kandivali East," INR 28,116.67 "
2015,Khar West," INR 56,175.00 "
2016,Khar West," INR 55,387.50 "
2017,Khar West," INR 55,587.50 "
2018,Khar West," INR 54,712.50 "
2019,Khar West," INR 55,825.00 "
2020,Khar West," INR 51,275.00 "
2021,Khar West," INR 53,475.00 "
2022,Khar West," INR 55,237.50 "
2023,Khar West," INR 56,600.00 "
2024,Khar West," INR 57,525.00 "
2025,Khar West," INR 58,383.33 "
2015,Kurla," INR 20,800.00 "
2016,Kurla," INR 22,975.00 "
2017,Kurla," INR 24,162.50 "
2018,Kurla," INR 22,062.50 "
2019,Kurla," INR 23,962.50 "
2020,Kurla," INR 23,650.00 "
2021,Kurla," INR 23,425.00 "
2022,Kurla," INR 24,075.00 "
2023,Kurla," INR 24,887.50 "
2024,Kurla," INR 24,675.00 "
2025,Kurla," INR 25,066.67 "
2015,Malad West," INR 24,023.00 "
2016,Malad West," INR 25,192.16 "
2017,Malad West," INR 26,418.21 "
2018,Malad West," INR 27,703.94 "
2019,Malad West," INR 29,052.24 "
2020,Malad West," INR 30,466.17 "
2021,Malad West," INR 31,948.90 "
2022,Malad West," INR 33,503.80 "
2023,Malad West," INR 35,134.37 "
2024,Malad West," INR 36,844.29 "
2025,Malad West," INR 38,637.44 "
2015,Mira Road," INR 16,322.00 "
2016,Mira Road," INR 17,294.02 "
2017,Mira Road," INR 18,323.94 "
2018,Mira Road," INR 19,415.18 "
2019,Mira Road," INR 20,571.41 "
2020,Mira Road," INR 21,796.51 "
2021,Mira Road," INR 23,094.55 "
2022,Mira Road," INR 24,469.90 "
2023,Mira Road," INR 25,927.16 "
2024,Mira Road," INR 27,471.20 "
2025,Mira Road," INR 29,107.19 "
2015,Mulund," INR 22,250.00 "
2016,Mulund," INR 23,225.00 "
2017,Mulund," INR 24,212.50 "
2018,Mulund," INR 23,975.00 "
2019,Mulund," INR 24,187.50 "
2020,Mulund," INR 23,712.50 "
2021,Mulund," INR 23,775.00 "
2022,Mulund," INR 24,675.00 "
2023,Mulund," INR 25,937.50 "
2024,Mulund," INR 26,950.00 "
2025,Mulund," INR 27,683.33 "
2015,Panvel," INR 8,769.00 "
2016,Panvel," INR 9,450.95 "
2017,Panvel," INR 10,185.93 "
2018,Panvel," INR 10,978.07 "
2019,Panvel," INR 11,831.81 "
2020,Panvel," INR 12,751.95 "
2021,Panvel," INR 13,743.65 "
2022,Panvel," INR 14,812.46 "
2023,Panvel," INR 15,964.40 "
2024,Panvel," INR 17,205.92 "
2025,Panvel," INR 12,500.00 "
2015,Powai," INR 26,112.50 "
2016,Powai," INR 27,687.50 "
2017,Powai," INR 28,225.00 "
2018,Powai," INR 28,887.50 "
2019,Powai," INR 28,837.50 "
2020,Powai," INR 28,787.50 "
2021,Powai," INR 29,875.00 "
2022,Powai," INR 30,975.00 "
2023,Powai," INR 33,537.50 "
2024,Powai," INR 35,137.50 "
2025,Powai," INR 37,500.00 "
2015,Santacruz West," INR 48,987.50 "
2016,Santacruz West," INR 51,762.50 "
2017,Santacruz West," INR 51,725.00 "
2018,Santacruz West," INR 53,262.50 "
2019,Santacruz West," INR 49,462.50 "
2020,Santacruz West," INR 47,475.00 "
2021,Santacruz West," INR 50,162.50 "
2022,Santacruz West," INR 47,062.50 "
2023,Santacruz West," INR 46,537.50 "
2024,Santacruz West," INR 51,250.00 "
2025,Santacruz West," INR 53,800.00 "
2015,Thane West," INR 13,051.00 "
2016,Thane West," INR 13,943.49 "
2017,Thane West," INR 14,897.02 "
2018,Thane West," INR 15,915.75 "
2019,Thane West," INR 17,004.15 "
2020,Thane West," INR 18,166.98 "
2021,Thane West," INR 19,409.33 "
2022,Thane West," INR 20,736.64 "
2023,Thane West," INR 22,154.71 "
2024,Thane West," INR 23,669.76 "
