Date,Ethereum
08/2017,10000
09/2017,7784.282474100411
10/2017,7953.166186477043
11/2017,11371.605468031632
12/2017,19049.224544841538
01/2018,27251.271991663092
02/2018,21364.555875681974
03/2018,9747.74719548826
04/2018,16921.7801753203
05/2018,15148.654447373261
06/2018,11937.105376080426
07/2018,11309.691656960707
08/2018,7441.917489119108
09/2018,6136.210384356035
10/2018,5323.974744069147
11/2018,3033.163734444921
12/2018,3531.84576717955
01/2019,2826.2735241831665
02/2019,3632.3790841660025
03/2019,3864.709127689573
04/2019,4379.022865199534
05/2019,7361.000429105621
06/2019,7768.957273340281
07/2019,6058.358364494575
08/2019,4808.741494513578
09/2019,5100.5333169864525
10/2019,5016.857720836143
11/2019,4229.755409795868
12/2019,3530.6197511187397
01/2020,4949.120333476369
02/2020,6046.098203886471
03/2020,3719.7327284987437
04/2020,5809.783608165267
05/2020,6390.9152209893955
06/2020,6159.811193526635
07/2020,9015.815607184455
08/2020,11158.585177465826
09/2020,9402.01066633973
10/2020,10165.818672224606
11/2020,15753.999877398395
12/2020,18481.579108686325
01/2021,33196.83687856311
02/2021,36028.62747501992
03/2021,50068.96340342059
04/2021,70654.69257647275
05/2021,67794.09060258689
06/2021,58847.851406853435
07/2021,65397.535707717776
08/2021,89124.6245325814
09/2021,79421.6269233127
10/2021,113811.99043707472
11/2021,125210.8747624594
12/2021,99107.76681174523
01/2022,73351.31490222522
02/2022,79919.38944400172
03/2022,90851.77465824803
04/2022,79316.49604609821
05/2022,55422.97554097959
06/2022,31323.790841660026
07/2022,50476.00073560964
08/2022,47471.34187457856
09/2022,41537.42414025624
10/2022,48804.63434070986
11/2022,38049.40844725066
12/2022,34187.45785569791
01/2023,44734.26101881935
02/2023,46493.59406608227
03/2023,51514.129835100845
04/2023,52081.16226322565
05/2023,53720.95874455955
06/2023,54284.92613253234
07/2023,51691.90216391835
08/2023,46511.984306994425
09/2023,48442.959602770796
10/2023,52620.609329982224
11/2023,57766.81174523386
12/2023,63541.34739165083
01/2024,64742.84313124502
02/2024,94715.8707779072
03/2024,103573.83681726232
04/2024,86559.79893336602
05/2024,106243.48678967694
06/2024,98023.04910194324
07/2024,91509.838778888
08/2024,69744.98865935144
09/2024,71602.40299147919
10/2024,70833.07791332067
11/2024,107337.70612395022
12/2024,98587.01648991602
01/2025,97615.39876172379
02/2025,66054.68031631215
03/2025,51648.99160178998
04/2025,48562.496168699814
05/2025,68387.17587200392
06/2025,64690.73744866058
07/2025,99227.60988168945
