date,nav,SMA_10,EMA_10
2025-09-18,125.42,,125.42
2025-09-17,125.48,,125.43090909090908
2025-09-16,124.77,,125.31074380165288
2025-09-15,124.04,,125.07969947407963
2025-09-12,123.56,,124.80339047879242
2025-09-11,123.47,,124.5609558462847
2025-09-10,123.49,,124.36623660150566
2025-09-09,122.8,,124.08146631032281
2025-09-08,122.46,,123.78665425390048
2025-09-05,122.29,123.77799999999999,123.51453529864584
2025-09-04,122.35,123.471,123.30280160798296
2025-09-03,122.56,123.179,123.16774677016787
2025-09-02,121.65,122.86699999999999,122.89179281195553
2025-09-01,121.27,122.58999999999999,122.59692139159996
2025-08-31,119.62,122.196,122.0556629567636
2025-08-29,119.62,121.81099999999999,121.61281514644294
2025-08-28,120.05,121.46700000000001,121.32866693799876
2025-08-26,121.03,121.29,121.27436385836262
2025-08-25,123.11,121.35499999999999,121.60811588411485
2025-08-22,123.0,121.426,121.86118572336669
2025-08-21,123.48,121.53899999999999,122.15551559184547
2025-08-20,123.4,121.623,122.3817854842372
2025-08-19,123.36,121.79400000000001,122.55964266892133
2025-08-18,122.79,121.946,122.60152582002654
2025-08-14,121.04,122.08800000000001,122.31761203456716
2025-08-13,121.23,122.24900000000002,122.11986439191858
2025-08-12,120.5,122.29400000000001,121.82534359338793
2025-08-11,120.38,122.229,121.56255384913557
2025-08-08,119.72,121.89000000000001,121.22754405838364
2025-08-07,120.89,121.679,121.1661724114048
2025-08-06,120.75,121.40599999999999,121.09050470024029
2025-08-05,122.01,121.26700000000001,121.25768566383296
2025-08-04,122.67,121.19800000000001,121.5144700885906
2025-08-01,122.17,121.13600000000001,121.6336573452105
2025-07-31,123.29,121.36099999999999,121.93481055517222
2025-07-30,123.62,121.60000000000002,122.24120863605
2025-07-29,123.58,121.90799999999999,122.48462524767727
2025-07-28,122.61,122.131,122.5074206571905
2025-07-25,123.77,122.53599999999999,122.7369805377013
2025-07-24,125.69,123.016,123.27389316721013
2025-07-23,126.13,123.55400000000002,123.79318531862647
2025-07-22,126.2,123.973,124.23078798796709
2025-07-21,126.32,124.33800000000001,124.61064471742762
2025-07-18,126.15,124.73599999999999,124.89052749607714
2025-07-17,127.07,125.114,125.2867952240631
2025-07-16,126.4,125.39199999999998,125.48919609241526
2025-07-15,126.24,125.65799999999999,125.62570589379429
2025-07-14,125.08,125.905,125.52648664037713
2025-07-11,124.35,125.96300000000001,125.31257997849038
2025-07-10,125.3,125.924,125.31029270967393
2025-07-09,125.46,125.857,125.33751221700594
2025-07-08,125.12,125.749,125.29796454118667
2025-07-07,125.54,125.671,125.34197098824363
2025-07-04,125.87,125.643,125.43797626310842
2025-07-03,125.71,125.50699999999999,125.48743512436144
2025-07-02,125.32,125.399,125.45699237447754
2025-07-01,125.62,125.33700000000002,125.48663012457253
2025-06-30,125.49,125.37800000000001,125.4872428291957
2025-06-27,124.62,125.405,125.32956231479646
2025-06-26,124.01,125.276,125.08964189392437
2025-06-25,123.79,125.109,124.85334336775628
2025-06-24,122.36,124.83300000000001,124.4000082099824
2025-06-23,121.54,124.43299999999999,123.88000671725831
2025-06-20,121.04,123.95,123.36364185957498
2025-06-19,119.9,123.369,122.7338887941977
2025-06-18,121.8,123.01700000000001,122.56409083161628
2025-06-17,122.02,122.657,122.46516522586786
2025-06-16,122.59,122.36699999999999,122.48786245752825
2025-06-13,122.07,122.11200000000001,122.41188746525037
2025-06-12,121.84,121.89500000000001,122.30790792611394
2025-06-11,123.46,121.86200000000001,122.51737921227505
2025-06-10,123.59,121.98499999999999,122.71240117367957
2025-06-09,123.31,122.16199999999999,122.82105550573782
2025-06-06,122.36,122.29400000000001,122.7372272319673
2025-06-05,121.66,122.46999999999998,122.54136773524597
2025-06-04,120.7,122.35999999999999,122.20657360156488
2025-06-03,120.56,122.21399999999998,121.90719658309854
2025-06-02,120.39,121.994,121.6313426588988
2025-05-31,120.02,121.78899999999999,121.33837126637175
2025-05-30,120.02,121.607,121.09866739975871
2025-05-29,119.46,121.207,120.80072787252985
2025-05-28,118.93,120.74100000000001,120.46059553206987
2025-05-27,118.88,120.298,120.17321452623898
2025-05-26,118.77,119.939,119.91808461237734
2025-05-23,118.16,119.58900000000001,119.59843286467236
2025-05-22,117.76,119.295,119.26417234382285
2025-05-21,117.89,119.02799999999999,119.01432282676414
2025-05-20,117.45,118.734,118.7299004946252
2025-05-19,118.39,118.571,118.66810040469335
2025-05-16,118.1,118.37899999999999,118.56480942202182
2025-05-15,116.97,118.13,118.2748440725633
2025-05-14,116.14,117.851,117.88669060482451
2025-05-13,114.89,117.452,117.34183776758368
2025-05-12,114.18,116.99300000000001,116.76695817347756
2025-05-09,110.73,116.25,115.66932941466345
2025-05-08,111.32,115.606,114.878542248361
2025-05-07,112.33,115.05,114.41517093047717
2025-05-06,111.25,114.43000000000002,113.83968530675403
2025-05-05,112.61,113.852,113.61610616007147
2025-05-02,111.5,113.19200000000001,113.23135958551302
2025-04-30,112.07,112.702,113.02020329723791
2025-04-29,113.62,112.45,113.12925724319464
2025-04-28,113.18,112.279,113.13848319897743
2025-04-25,112.83,112.144,113.0823953446179
2025-04-24,114.81,112.55199999999999,113.39650528196009
2025-04-23,115.22,112.94200000000001,113.72804977614916
2025-04-22,115.34,113.24300000000001,114.02113163503113
2025-04-21,114.16,113.53399999999999,114.04638042866182
2025-04-17,112.33,113.506,113.7343112598142
2025-04-16,111.67,113.523,113.35898193984798
2025-04-15,110.94,113.41000000000001,112.9191670416938
2025-04-11,107.88,112.83599999999998,112.00295485229492
2025-04-09,105.12,112.03,110.75150851551402
2025-04-08,106.12,111.359,109.90941605814783
2025-04-07,103.84,110.26200000000001,108.80588586575732
2025-04-04,107.3,109.47,108.53208843561961
2025-04-03,110.25,108.96099999999998,108.84443599277968
2025-04-02,110.37,108.582,109.12181126681975
2025-04-01,109.25,108.274,109.14511830921614
2025-03-31,110.09,108.11600000000001,109.31691498026775
2025-03-28,110.09,108.03099999999999,109.45747589294633
2025-03-27,110.02,108.245,109.55975300331971
2025-03-26,109.63,108.696,109.57252518453431
2025-03-25,111.08,109.19200000000001,109.84661151461898
2025-03-24,111.9,109.998,110.21995487559734
2025-03-21,110.75,110.343,110.31632671639782
2025-03-20,109.24,110.242,110.12063094978004
2025-03-19,108.21,110.026,109.77324350436548
2025-03-18,106.7,109.771,109.21447195811722
2025-03-17,104.53,109.215,108.36274978391407
2025-03-13,104.26,108.63199999999999,107.61679527774787
2025-03-12,104.91,108.12100000000001,107.12465068179371
2025-03-11,104.96,107.654,106.73107783055848
2025-03-10,105.38,107.08399999999999,106.48542731591147
2025-03-07,106.51,106.545,106.48989507665482
2025-03-06,106.15,106.085,106.42809597180847
2025-03-05,105.09,105.67,106.18480579511602
2025-03-04,103.05,105.154,105.61484110509491
2025-03-03,102.28,104.71200000000002,105.00850635871402
2025-02-28,102.34,104.49300000000001,104.52332338440237
2025-02-27,103.98,104.465,104.42453731451103
2025-02-25,105.1,104.484,104.54734871187266
2025-02-24,105.24,104.51200000000001,104.67328530971398
2025-02-21,106.38,104.61200000000001,104.98359707158416
2025-02-20,106.52,104.61300000000001,105.26294305856885
2025-02-19,105.86,104.58399999999999,105.37149886610179
2025-02-18,104.35,104.51000000000002,105.18577179953782
2025-02-17,105.53,104.758,105.24835874507639
2025-02-14,106.44,105.174,105.46502079142613
2025-02-13,108.73,105.81299999999999,106.05865337480319
2025-02-12,109.26,106.34099999999998,106.64071639756625
2025-02-11,109.57,106.78800000000001,107.17331341619057
2025-02-10,112.76,107.54,108.18907461324682
2025-02-07,114.85,108.38700000000001,109.40015195629283
2025-02-06,114.95,109.22999999999999,110.40921523696686
2025-02-05,115.3,110.174,111.2984488302456
2025-02-04,114.37,111.176,111.85691267929185
2025-02-03,113.68,111.99100000000001,112.18838310123878
2025-01-31,113.74,112.721,112.47049526464991
2025-01-30,112.03,113.051,112.39040521653175
2025-01-29,112.47,113.372,112.40487699534415
2025-01-28,109.25,113.34,111.83126299619066
2025-01-27,110.88,113.152,111.65830608779235
2025-01-24,113.48,113.01500000000001,111.9895231627392
2025-01-23,115.24,113.04400000000001,112.58051895133207
2025-01-22,113.99,112.91300000000001,112.83678823290805
2025-01-21,115.58,113.03399999999999,113.33555400874295
2025-01-20,117.81,113.447,114.14908964351694
2025-01-17,117.09,113.782,114.68380061742295
2025-01-16,117.74,114.353,115.23947323243695
2025-01-15,116.63,114.769,115.49229628108476
2025-01-14,115.61,115.405,115.51369695725116
2025-01-13,114.47,115.76400000000001,115.32393387411457
2025-01-10,118.6,116.276,115.91958226063919
2025-01-09,120.6,116.81200000000001,116.77056730415933
2025-01-08,121.8,117.593,117.68500961249399
2025-01-07,122.8,118.31500000000001,118.6150078647678
2025-01-06,121.53,118.68699999999998,119.14500643481001
2025-01-03,124.49,119.42699999999999,120.11682344666272
2025-01-02,124.42,120.095,120.89921918363314
2025-01-01,123.61,120.793,121.39208842297256
2024-12-31,122.8,121.51199999999999,121.64807234606846
2024-12-30,122.34,122.299,121.77387737405601
2024-12-27,122.4,122.679,121.88771785150038
2024-12-26,122.08,122.827,121.92267824213667
2024-12-24,122.3,122.877,121.9912821981118
2024-12-23,122.1,122.80699999999999,122.01104907118238
2024-12-20,122.53,122.907,122.10540378551285
2024-12-19,124.99,122.957,122.62987582451049
2024-12-18,124.99,123.01399999999998,123.05898931096311
2024-12-17,125.47,123.2,123.49735489078799
2024-12-16,126.32,123.55199999999999,124.01056309246289
2024-12-13,125.62,123.88,124.30318798474237
2024-12-12,125.95,124.23500000000001,124.60260835115284
2024-12-11,126.9,124.71699999999998,125.0203159236705
2024-12-10,126.57,125.144,125.30207666482131
2024-12-09,125.94,125.52799999999999,125.4180627257629
2024-12-06,125.45,125.82000000000001,125.4238695028969
2024-12-05,124.79,125.8,125.30862050237019
2024-12-04,124.52,125.753,125.1652349564847
2024-12-03,123.57,125.56300000000002,124.87519223712384
2024-12-02,122.3,125.16100000000002,124.40697546673768
2024-11-30,121.67,124.76599999999999,123.90934356369446
2024-11-29,121.67,124.338,123.50219018847729
2024-11-28,120.88,123.73600000000002,123.02542833602686
2024-11-27,120.84,123.16299999999998,122.62807772947652
2024-11-26,120.13,122.58200000000002,122.1738817786626
2024-11-25,119.74,122.011,121.73135781890575
2024-11-22,118.19,121.351,121.0874745791047
2024-11-21,116.95,120.59400000000001,120.33520647381293
2024-11-19,117.04,119.94099999999999,119.73607802402876
2024-11-18,116.01,119.31199999999998,119.05860929238716
2024-11-14,116.38,118.78300000000002,118.57158942104402
2024-11-13,115.61,118.17699999999999,118.03311861721782
2024-11-12,118.09,117.898,118.04346068681457
2024-11-11,119.22,117.73599999999999,118.25737692557554
2024-11-08,120.35,117.75800000000001,118.63785384819818
2024-11-07,121.57,117.941,119.17097133034395
2024-11-06,122.38,118.36000000000001,119.75443108846322
2024-11-05,120.35,118.7,119.86271634510626
2024-11-04,120.14,119.00999999999999,119.91313155508693
2024-10-31,120.64,119.473,120.04528945416203
2024-10-30,119.05,119.73999999999998,119.86432773522347
2024-10-29,118.08,119.98700000000001,119.53990451063737
2024-10-28,117.5,119.928,119.16901278143057
2024-10-25,117.15,119.721,118.80191954844318
2024-10-24,118.87,119.57300000000001,118.8142978123626
2024-10-23,120.03,119.41900000000001,119.03533457375121
2024-10-22,119.3,119.11099999999999,119.08345556034189
2024-10-21,122.5,119.326,119.70464545846153
2024-10-18,123.94,119.70599999999999,120.47470992055942
2024-10-17,124.27,120.069,121.16476266227588
2024-10-16,125.83,120.747,122.01298763277116
2024-10-15,125.87,121.526,122.71426260863095
2024-10-14,124.49,122.225,123.03712395251623
2024-10-11,124.02,122.912,123.21582868842236
2024-10-10,123.6,123.38499999999999,123.28567801780011
2024-10-09,123.46,123.728,123.31737292365463
2024-10-08,122.15,124.01299999999999,123.10512330117197
2024-10-07,120.6,123.82300000000001,122.64964633732251
2024-10-04,123.15,123.74399999999999,122.7406197305366
2024-10-03,124.3,123.747,123.02414341589358
2024-10-01,126.49,123.81300000000002,123.65429915845837
2024-09-30,125.69,123.79499999999999,124.02442658419321
2024-09-27,125.74,123.91999999999999,124.3363490234308
2024-09-26,126.03,124.12099999999998,124.64428556462519
2024-09-25,126.24,124.38499999999999,124.93441546196605
2024-09-24,126.8,124.71900000000001,125.2736126506995
2024-09-23,126.94,125.19800000000001,125.57659216875413
2024-09-20,126.17,125.755,125.68448450170791
2024-09-19,124.37,125.877,125.44548731957919
2024-09-18,125.0,125.94699999999997,125.36448962511022
2024-09-17,125.35,125.833,125.36185514781744
2024-09-16,124.78,125.742,125.25606330275971
2024-09-13,124.1,125.578,125.04586997498521
2024-09-12,123.3,125.30500000000002,124.72843907044243
2024-09-11,122.14,124.89500000000001,124.25781378490744
2024-09-10,122.82,124.497,123.99639309674244
2024-09-09,121.71,123.974,123.58068526097108
2024-09-06,122.22,123.579,123.3332879407945
2024-09-05,122.67,123.40900000000002,123.21269013337732
2024-09-04,121.89,123.098,122.97220101821782
2024-09-03,121.34,122.697,122.67543719672366
2024-09-02,120.73,122.292,122.3217213427739
2024-08-31,120.93,121.975,122.06868109863318
2024-08-30,120.93,121.73799999999999,121.86164817160895
2024-08-29,120.43,121.56700000000001,121.60134850404367
2024-08-28,121.0,121.38500000000002,121.49201241239936
2024-08-27,121.04,121.31800000000001,121.40982833741765
2024-08-26,120.66,121.162,121.27349591243261
2024-08-23,120.09,120.904,121.05831483744487
2024-08-22,119.9,120.70500000000001,120.8477121397276
2024-08-21,119.51,120.522,120.60449175068622
2024-08-20,118.88,120.33699999999999,120.29094779601598
2024-08-19,118.32,120.076,119.9325936512858
2024-08-16,117.5,119.73299999999999,119.49030389650655
2024-08-14,115.14,119.204,118.69933955168717
2024-08-13,115.21,118.625,118.06491417865314
