date,nav
03-10-2025,10.1428
01-10-2025,10.1428
30-09-2025,10.1428
26-09-2025,10.1428
25-09-2025,10.1428
24-09-2025,10.1428
23-09-2025,10.1428
22-09-2025,10.1428
19-09-2025,10.1428
18-09-2025,10.1428
17-09-2025,10.1428
16-09-2025,10.1428
15-09-2025,10.1428
12-09-2025,10.1423
11-09-2025,10.1428
10-09-2025,10.1428
09-09-2025,10.1428
05-09-2025,10.1428
04-09-2025,10.1428
03-09-2025,10.1428
02-09-2025,10.1428
01-09-2025,10.1428
29-08-2025,10.1416
28-08-2025,10.1428
26-08-2025,10.1414
25-08-2025,10.1428
22-08-2025,10.1425
21-08-2025,10.1428
20-08-2025,10.1428
19-08-2025,10.1427
18-08-2025,10.1428
14-08-2025,10.1428
13-08-2025,10.1388
12-08-2025,10.1398
11-08-2025,10.1428
08-08-2025,10.1428
07-08-2025,10.1421
06-08-2025,10.1406
05-08-2025,10.1428
04-08-2025,10.1428
01-08-2025,10.1428
31-07-2025,10.1428
30-07-2025,10.1428
29-07-2025,10.1422
28-07-2025,10.1428
25-07-2025,10.1428
24-07-2025,10.1428
23-07-2025,10.1428
22-07-2025,10.1428
21-07-2025,10.1428
18-07-2025,10.1428
17-07-2025,10.1428
16-07-2025,10.1428
15-07-2025,10.1428
14-07-2025,10.1428
11-07-2025,10.1428
10-07-2025,10.1428
09-07-2025,10.1428
08-07-2025,10.1428
07-07-2025,10.1428
04-07-2025,10.1428
03-07-2025,10.1428
02-07-2025,10.1428
01-07-2025,10.1428
30-06-2025,10.1428
27-06-2025,10.1428
26-06-2025,10.1428
25-06-2025,10.1424
24-06-2025,10.1428
23-06-2025,10.1428
20-06-2025,10.1428
19-06-2025,10.1423
18-06-2025,10.1413
17-06-2025,10.1381
16-06-2025,10.1332
13-06-2025,10.1295
12-06-2025,10.1312
11-06-2025,10.1349
10-06-2025,10.1378
09-06-2025,10.1428
06-06-2025,10.1428
05-06-2025,10.1428
04-06-2025,10.1428
03-06-2025,10.1428
02-06-2025,10.1428
30-05-2025,10.1428
29-05-2025,10.1428
28-05-2025,10.1428
27-05-2025,10.1428
26-05-2025,10.1428
23-05-2025,10.1428
22-05-2025,10.1428
21-05-2025,10.1428
20-05-2025,10.1428
19-05-2025,10.1428
16-05-2025,10.1428
15-05-2025,10.1428
14-05-2025,10.1428
13-05-2025,10.1428
09-05-2025,10.1362
08-05-2025,10.1384
07-05-2025,10.1428
06-05-2025,10.1428
05-05-2025,10.1428
02-05-2025,10.1428
30-04-2025,10.1421
29-04-2025,10.1428
28-04-2025,10.1428
25-04-2025,10.1426
24-04-2025,10.1428
23-04-2025,10.1428
22-04-2025,10.1428
21-04-2025,10.1428
17-04-2025,10.1428
16-04-2025,10.1428
15-04-2025,10.1428
11-04-2025,10.1428
09-04-2025,10.1428
08-04-2025,10.1428
07-04-2025,10.1428
04-04-2025,10.1428
03-04-2025,10.1428
02-04-2025,10.1428
31-03-2025,10.1428
28-03-2025,10.1428
27-03-2025,10.1428
26-03-2025,10.1428
25-03-2025,10.1428
24-03-2025,10.1428
21-03-2025,10.1428
20-03-2025,10.1428
19-03-2025,10.1428
18-03-2025,10.1428
17-03-2025,10.1428
13-03-2025,10.1428
12-03-2025,10.1428
11-03-2025,10.1428
10-03-2025,10.1428
07-03-2025,10.1428
06-03-2025,10.1428
05-03-2025,10.1428
04-03-2025,10.1428
03-03-2025,10.1428
28-02-2025,10.1428
27-02-2025,10.1428
25-02-2025,10.1428
24-02-2025,10.1428
21-02-2025,10.1428
20-02-2025,10.1428
18-02-2025,10.1428
17-02-2025,10.1428
14-02-2025,10.1428
13-02-2025,10.1428
12-02-2025,10.1428
11-02-2025,10.1428
10-02-2025,10.1428
07-02-2025,10.1428
06-02-2025,10.1428
05-02-2025,10.1428
04-02-2025,10.1428
03-02-2025,10.1428
31-01-2025,10.1428
30-01-2025,10.1428
29-01-2025,10.1428
28-01-2025,10.1428
27-01-2025,10.1428
24-01-2025,10.1428
23-01-2025,10.1428
22-01-2025,10.1428
21-01-2025,10.1428
20-01-2025,10.1428
17-01-2025,10.1428
16-01-2025,10.1428
15-01-2025,10.1428
14-01-2025,10.1428
13-01-2025,10.1428
10-01-2025,10.1428
09-01-2025,10.1428
08-01-2025,10.1427
07-01-2025,10.1428
06-01-2025,10.1428
03-01-2025,10.1428
02-01-2025,10.1428
01-01-2025,10.1428
31-12-2024,10.1428
30-12-2024,10.1428
27-12-2024,10.1428
26-12-2024,10.1428
24-12-2024,10.1428
23-12-2024,10.1428
20-12-2024,10.1423
19-12-2024,10.1428
18-12-2024,10.1428
17-12-2024,10.1428
16-12-2024,10.1428
13-12-2024,10.1428
12-12-2024,10.1428
11-12-2024,10.1428
10-12-2024,10.1427
09-12-2024,10.1428
06-12-2024,10.1428
05-12-2024,10.1428
04-12-2024,10.1428
03-12-2024,10.1428
02-12-2024,10.1428
29-11-2024,10.1428
28-11-2024,10.1428
27-11-2024,10.1428
26-11-2024,10.1428
25-11-2024,10.1428
22-11-2024,10.1428
21-11-2024,10.1428
19-11-2024,10.1428
18-11-2024,10.1428
14-11-2024,10.1428
13-11-2024,10.1428
12-11-2024,10.1428
11-11-2024,10.1428
08-11-2024,10.1428
07-11-2024,10.1428
06-11-2024,10.1428
05-11-2024,10.1428
04-11-2024,10.1428
31-10-2024,10.1428
30-10-2024,10.1428
29-10-2024,10.1428
28-10-2024,10.1428
25-10-2024,10.1428
24-10-2024,10.1428
23-10-2024,10.1428
22-10-2024,10.1424
21-10-2024,10.1428
18-10-2024,10.1428
17-10-2024,10.1428
16-10-2024,10.1428
15-10-2024,10.1428
14-10-2024,10.1428
11-10-2024,10.1428
10-10-2024,10.1428
09-10-2024,10.1428
08-10-2024,10.1428
07-10-2024,10.1428
04-10-2024,10.1428
03-10-2024,10.1428
01-10-2024,10.1428
30-09-2024,10.1428
27-09-2024,10.1428
26-09-2024,10.1428
25-09-2024,10.1428
24-09-2024,10.1428
23-09-2024,10.1428
20-09-2024,10.1428
19-09-2024,10.1428
17-09-2024,10.1428
16-09-2024,10.1428
13-09-2024,10.1428
12-09-2024,10.1428
11-09-2024,10.1428
10-09-2024,10.1428
09-09-2024,10.1428
06-09-2024,10.1428
05-09-2024,10.1428
04-09-2024,10.1428
03-09-2024,10.1428
02-09-2024,10.1428
30-08-2024,10.1428
29-08-2024,10.1428
28-08-2024,10.1428
27-08-2024,10.1428
26-08-2024,10.1428
23-08-2024,10.1428
22-08-2024,10.1428
21-08-2024,10.1428
20-08-2024,10.1428
19-08-2024,10.1428
16-08-2024,10.1428
14-08-2024,10.1428
13-08-2024,10.1428
12-08-2024,10.1428
09-08-2024,10.1428
08-08-2024,10.1428
07-08-2024,10.1428
06-08-2024,10.1427
05-08-2024,10.1428
02-08-2024,10.1428
01-08-2024,10.1428
31-07-2024,10.1428
30-07-2024,10.1428
29-07-2024,10.1428
26-07-2024,10.1428
25-07-2024,10.1428
24-07-2024,10.1428
23-07-2024,10.1428
22-07-2024,10.1428
19-07-2024,10.1428
18-07-2024,10.1428
16-07-2024,10.1428
15-07-2024,10.1428
12-07-2024,10.1428
11-07-2024,10.1428
10-07-2024,10.1428
09-07-2024,10.1428
08-07-2024,10.1428
05-07-2024,10.1428
04-07-2024,10.1428
03-07-2024,10.1428
02-07-2024,10.1428
01-07-2024,10.1428
28-06-2024,10.1428
27-06-2024,10.1428
26-06-2024,10.1428
25-06-2024,10.1428
24-06-2024,10.1428
21-06-2024,10.1428
20-06-2024,10.1428
19-06-2024,10.1428
18-06-2024,10.1428
14-06-2024,10.1428
13-06-2024,10.1428
12-06-2024,10.1428
11-06-2024,10.1428
10-06-2024,10.1428
07-06-2024,10.1428
06-06-2024,10.1428
05-06-2024,10.1413
04-06-2024,10.1393
03-06-2024,10.1428
31-05-2024,10.1428
30-05-2024,10.1428
29-05-2024,10.1428
28-05-2024,10.1428
27-05-2024,10.1428
24-05-2024,10.1428
22-05-2024,10.1428
21-05-2024,10.1428
17-05-2024,10.1428
16-05-2024,10.1428
15-05-2024,10.1428
14-05-2024,10.1428
13-05-2024,10.1428
10-05-2024,10.1428
09-05-2024,10.1428
08-05-2024,10.1428
07-05-2024,10.1428
06-05-2024,10.1428
03-05-2024,10.1428
02-05-2024,10.1428
30-04-2024,10.1428
29-04-2024,10.1428
26-04-2024,10.1428
25-04-2024,10.1428
24-04-2024,10.1428
23-04-2024,10.1428
22-04-2024,10.1428
19-04-2024,10.1425
18-04-2024,10.1428
16-04-2024,10.1428
15-04-2024,10.1428
12-04-2024,10.1428
10-04-2024,10.1428
08-04-2024,10.1428
05-04-2024,10.1428
04-04-2024,10.1428
03-04-2024,10.1428
02-04-2024,10.1428
31-03-2024,10.1428
28-03-2024,10.1428
27-03-2024,10.1428
26-03-2024,10.1428
22-03-2024,10.1428
21-03-2024,10.1428
20-03-2024,10.1428
19-03-2024,10.1428
18-03-2024,10.1428
15-03-2024,10.1428
14-03-2024,10.1428
13-03-2024,10.1428
12-03-2024,10.1428
11-03-2024,10.1428
07-03-2024,10.1428
06-03-2024,10.1428
05-03-2024,10.1428
04-03-2024,10.1428
01-03-2024,10.1428
29-02-2024,10.1428
28-02-2024,10.1428
27-02-2024,10.1428
26-02-2024,10.1428
23-02-2024,10.1428
22-02-2024,10.1428
21-02-2024,10.1428
20-02-2024,10.1428
16-02-2024,10.1428
15-02-2024,10.1428
14-02-2024,10.1428
13-02-2024,10.1428
12-02-2024,10.1428
09-02-2024,10.1428
08-02-2024,10.1428
07-02-2024,10.1428
06-02-2024,10.1428
05-02-2024,10.1428
02-02-2024,10.1428
01-02-2024,10.1428
31-01-2024,10.1428
30-01-2024,10.1428
29-01-2024,10.1428
25-01-2024,10.1428
24-01-2024,10.1428
23-01-2024,10.1428
19-01-2024,10.1428
18-01-2024,10.1428
17-01-2024,10.1428
16-01-2024,10.1428
15-01-2024,10.1428
12-01-2024,10.1428
11-01-2024,10.1428
10-01-2024,10.1428
09-01-2024,10.1428
08-01-2024,10.1428
05-01-2024,10.1428
04-01-2024,10.1428
03-01-2024,10.1428
02-01-2024,10.1428
01-01-2024,10.1428
29-12-2023,10.1428
28-12-2023,10.1428
27-12-2023,10.1428
26-12-2023,10.1428
22-12-2023,10.1428
21-12-2023,10.1428
20-12-2023,10.1428
19-12-2023,10.1428
18-12-2023,10.1428
15-12-2023,10.1428
14-12-2023,10.1428
13-12-2023,10.1428
12-12-2023,10.1428
11-12-2023,10.1428
08-12-2023,10.1428
07-12-2023,10.1428
06-12-2023,10.1428
05-12-2023,10.1428
04-12-2023,10.1428
01-12-2023,10.1428
30-11-2023,10.1428
29-11-2023,10.1428
28-11-2023,10.1428
24-11-2023,10.1422
23-11-2023,10.1428
22-11-2023,10.1425
21-11-2023,10.1415
20-11-2023,10.1428
17-11-2023,10.1428
16-11-2023,10.1428
15-11-2023,10.1428
13-11-2023,10.1428
10-11-2023,10.1428
09-11-2023,10.1428
08-11-2023,10.1428
07-11-2023,10.1428
06-11-2023,10.1428
03-11-2023,10.1428
02-11-2023,10.1428
01-11-2023,10.1428
31-10-2023,10.1428
30-10-2023,10.1428
27-10-2023,10.1428
26-10-2023,10.1428
25-10-2023,10.1428
23-10-2023,10.1428
20-10-2023,10.1428
19-10-2023,10.1428
18-10-2023,10.1428
17-10-2023,10.1428
16-10-2023,10.1428
13-10-2023,10.1427
12-10-2023,10.1403
11-10-2023,10.1382
10-10-2023,10.1358
09-10-2023,10.1366
06-10-2023,10.1355
05-10-2023,10.1428
04-10-2023,10.1428
03-10-2023,10.1428
30-09-2023,10.1428
29-09-2023,10.1428
27-09-2023,10.1428
