Date,Close,Volume,SMA_10,EMA_10,nav
02-01-2013,5993.25,145940,60.09,60.03259285,59.55
03-01-2013,6009.5,145940,60.17,60.13983571,59.98
04-01-2013,6016.149902,140466.6667,60.237,60.17535475,60.01
05-01-2013,6024.517456,142914.2857,60.27416667,60.18710417,59.93333333
06-01-2013,6026.00472,140575,60.30785714,60.21336842,59.91428571
07-01-2013,5988.399902,143677.7778,60.31,60.21210025,60
08-01-2013,6001.700195,145240,60.395,60.25923364,60.06
09-01-2013,5971.5,145240,60.443,60.30350779,60
10-01-2013,5968.649902,145240,60.51,60.37095396,59.8
11-01-2013,5951.299805,144918.1818,60.554,60.49783262,59.99
12-01-2013,6020.955957,144191.6667,60.520875,60.42374979,60.21375
13-01-2013,6018.580735,145238.4615,60.569625,60.47041642,60.295
14-01-2013,6024.049805,146121.4286,60.64,60.61068431,60.69
15-01-2013,6056.600098,149220,60.66,60.5930586,60.82
16-01-2013,6001.850098,149220,60.655,60.54262718,60.35
17-01-2013,6039.200195,149220,60.7,60.58543322,60.65
18-01-2013,6064.399902,147518.75,60.699,60.57108505,60.74
19-01-2013,6004.858301,147241.1765,60.6465,60.54322843,60.66375
20-01-2013,6002.538684,146983.3333,60.625625,60.51644586,60.6075
21-01-2013,6082.299805,130900,60.663,60.53354839,60.85
22-01-2013,6048.5,129000,60.609,60.46322581,60.54
23-01-2013,6054.299805,137000,60.546,60.44616488,60.67
24-01-2013,6019.350098,185200,60.473,60.39642375,60.24
25-01-2013,6074.649902,147600,60.407,60.43118458,60.85
26-01-2013,5991.455706,142268.1818,60.37064125,60.36454753,60.70125
27-01-2013,5990.111098,141969.5652,60.26608,60.28972476,60.675
28-01-2013,6074.799805,113100,60.249,60.33811448,60.89
29-01-2013,6049.899902,157600,60.076,60.21547326,60.77
30-01-2013,6055.75,124200,59.94213,60.09224509,60.8
31-01-2013,6034.75,168500,59.82651,59.93496623,60.64
01-02-2013,5998.899902,159300,59.68433,59.77829205,60.38
02-02-2013,5970.981934,143118.5185,59.78114125,59.86315542,60.455
03-02-2013,5965.293037,144264.2857,59.6766175,59.7316344,60.29125
04-02-2013,5987.25,141700,59.56685,59.64457918,60.31
05-02-2013,5956.899902,136200,59.4645,59.49670788,59.91
06-02-2013,5959.200195,157800,59.43981,59.40486519,59.94
07-02-2013,5938.799805,157600,59.41281,59.28594634,59.58
08-02-2013,5903.5,192600,59.34072,59.22060109,59.27
09-02-2013,5936.959717,151503.125,59.37538,59.33210179,59.6556375
10-02-2013,5930.348606,151666.6667,59.31484125,59.26020497,59.5191625
11-02-2013,5897.850098,122000,59.31151,59.20962355,59.16
12-02-2013,5922.5,142800,59.28784,59.220651,59.4313
13-02-2013,5932.950195,142600,59.179,59.17384012,59.6438
14-02-2013,5896.950195,143800,59.08254,59.06940459,59.2182
15-02-2013,5887.399902,125100,58.94693,59.03633894,59.2052
16-02-2013,5915.840278,150025,58.9771675,59.05207686,59.4097625
17-02-2013,5910.359728,149683.3333,58.861455,58.97259116,59.37215
18-02-2013,5898.200195,114300,58.82937,58.99881426,59.2865
19-02-2013,5939.700195,101000,58.6648,58.93488409,59.6631
20-02-2013,5943.049805,135400,58.51535,58.77305834,59.67
21-02-2013,5852.25,159400,58.38581,58.57373797,58.8591
22-02-2013,5850.299805,157000,58.38116,58.51032418,58.9779
23-02-2013,5886.461141,149775,58.52836125,58.5961174,59.05025
24-02-2013,5876.586141,150608.3333,58.492255,58.49519905,58.8722
25-02-2013,5854.75,125100,58.42915,58.40641844,58.9233
26-02-2013,5761.350098,157400,58.47429,58.29155587,58.3429
27-02-2013,5796.899902,175200,58.54696,58.28014607,58.6792
28-02-2013,5693.049805,334900,58.54052,58.19146742,57.8621
01-03-2013,5719.700195,174500,58.66102,58.26466018,58.0296
02-03-2013,5835.166707,151377.7778,58.61944875,58.34397055,58.2526375
03-03-2013,5831.688616,151811.4286,58.64205375,58.36426678,58.2388
04-03-2013,5698.5,144900,58.73429,58.31689577,57.6408
05-03-2013,5784.25,154400,58.8151,58.46713928,58.1686
06-03-2013,5818.600098,156900,58.75426,58.53348134,58.3746
07-03-2013,5863.299805,134700,58.60999,58.5687883,58.8126
08-03-2013,5945.700195,150800,58.40746,58.51460793,59.4578
09-03-2013,5810.141214,149920.5882,58.33874875,58.32722382,58.6891875
10-03-2013,5802.800034,149858.8235,58.1604975,58.24678745,58.867475
11-03-2013,5942.350098,125400,58.10182,58.30500969,59.3747
12-03-2013,5914.100098,115900,57.78738,58.06730073,59.0696
13-03-2013,5851.200195,116700,57.49969,57.84456756,58.6148
14-03-2013,5908.950195,149000,57.30828,57.67340479,59.0671
15-03-2013,5872.600098,152200,57.09684,57.36369475,58.7623
16-03-2013,5760.169146,149314.7059,57.27983375,57.4513172,58.4786875
17-03-2013,5748.963264,150126.4706,57.08581625,57.22301269,58.1552625
18-03-2013,5835.25,102700,56.95785,57.05289358,58.4489
19-03-2013,5745.950195,182300,56.82212,56.74266993,57.5602
20-03-2013,5694.399902,187600,56.66469,56.56099658,56.9319
21-03-2013,5658.75,179200,56.54968,56.4785736,56.7873
22-03-2013,5651.350098,165300,56.43738,56.40996773,56.4014
23-03-2013,5716.008861,149620.5882,56.56649,56.58702772,56.9361
24-03-2013,5713.872099,149538.2353,56.45721,56.5094561,56.68635714
25-03-2013,5633.850098,150400,56.30337,56.41187167,56.2303
26-03-2013,5641.600098,126500,56.23034,56.45222094,56.1927
27-03-2013,5713.909424,142175,56.290995,56.44598815,56.381275
28-03-2013,5682.549805,209700,56.19289,56.50989225,56.7007
29-03-2013,5717.56065,141960.6061,56.122372,56.44022832,56.68976
30-03-2013,5721.754587,141575.7576,56.05619833,56.38929264,56.75673333
31-03-2013,5719.801605,141175,55.94446333,56.30763916,56.716
