Price,Close,High,Low,Open,Volume
Ticker,ABBOTINDIA.BO,ABBOTINDIA.BO,ABBOTINDIA.BO,ABBOTINDIA.BO,ABBOTINDIA.BO
Date,,,,,
2025-03-26,30164.1171875,30816.69154514823,30128.216004660353,30406.101985865273,171
2025-03-27,30163.8203125,30330.404342435457,29836.521807993096,30164.116968727783,404
2025-03-28,30309.19921875,30377.597742685262,29971.494630005047,30319.406889866485,356
2025-04-01,29890.224609375,30574.706851129715,29830.259597601136,30309.199524431417,291
2025-04-02,29167.029296875,29983.328963113225,29056.02400783676,29983.328963113225,210
2025-04-03,29529.736328125,29963.65384319137,29233.50582691796,29351.910186337594,637
2025-04-04,28650.708984375,29587.335501016296,28426.872235282128,29587.335501016296,588
2025-04-07,28531.171875,28898.1182802969,27220.053484972148,27221.432743754507,544
2025-04-08,29010.0625,29094.193435374415,28602.2834739051,28800.871701653505,193
2025-04-09,28736.515625,29193.95565904592,28583.444869669314,28701.995628831693,182
2025-04-11,29172.947265625,29356.54471786738,28898.51329363644,28898.51329363644,184
2025-04-15,30574.1640625,30722.79653233106,29234.589800750746,29234.589800750746,252
2025-04-16,30294.552734375,30954.22948859285,29985.54867789952,30387.460069602308,979
2025-04-17,30261.166015625,30507.490854979853,29588.964191399256,29588.964191399256,276
2025-04-21,30473.859375,30772.1125433806,29879.820678724078,29879.820678724078,226
2025-04-22,30561.982421875,30683.345637950653,30250.169764185815,30648.825641250936,89
2025-04-23,30020.7578125,30870.641276422906,29992.945328899656,30722.746593751046,149
2025-04-24,29616.626953125,30052.122128845782,29593.49932642001,30028.451274527033,250
2025-04-25,29339.92578125,29772.017117279484,29001.08659288355,29772.017117279484,177
2025-04-28,29340.9609375,29456.406440301,28921.296404574663,28921.296404574663,206
2025-04-29,29681.625,29697.060755604103,29157.119450063525,29397.22991967904,87
2025-04-30,29467.205078125,29681.42746836935,29292.732694828883,29292.732694828883,75
2025-05-02,30330.9453125,30436.774531097435,29370.451437330066,29436.237844631407,213
2025-05-05,30352.642578125,30525.48912892331,30057.053555369588,30426.762325974796,282
2025-05-06,29732.3203125,30180.340564175713,29588.569180564427,30146.017053390602,364
2025-05-07,29844.755859375,30053.01045030238,29205.544543539505,29444.077332028573,182
2025-05-08,29610.662109375,30015.187546142457,29411.135755715186,29688.28201798849,112
2025-05-09,29734.193359375,29884.403499972996,29100.94792137689,29203.916522956646,164
2025-05-12,29630.9296875,30086.64374245465,29588.569489383364,29953.54526457057,166
2025-05-13,30006.75390625,30057.05447321091,29692.128791337636,29784.001682731123,134
2025-05-14,29932.240234375,30175.40973411301,29820.346896908213,30006.754886440733,195
2025-05-15,29954.677734375,30111.300664936596,29820.346400404782,30091.5248672692,317
2025-05-16,30141.7265625,31106.117414120672,30027.515843288485,30466.36286021325,879
2025-05-19,30265.16015625,30466.36242020995,30116.281114311343,30151.294253382806,433
2025-05-20,30368.869140625,30525.540227575282,30081.95826578685,30081.95826578685,761
2025-05-21,30991.166015625,31099.60927891903,30268.12038905739,30377.598096483023,571
2025-05-22,30671.361328125,30920.053627979578,30382.281403397254,30920.053627979578,76
2025-05-23,30395.349609375,30620.222726090473,30338.145044596502,30525.539308526066,74
2025-05-26,29785.728515625,30543.885527525883,29613.226769425528,30427.159005610985,477
2025-05-27,30019.23046875,30075.597076952046,29795.836776805954,29879.522726025785,182
2025-05-28,29746.76953125,30071.798805150986,29687.197493868232,29914.043189004104,222
2025-05-29,29921.193359375,30160.5641082856,29677.185912257166,30160.5641082856,413
2025-05-30,30035.50390625,30160.61385018086,29746.91712302328,29746.91712302328,96
2025-06-02,30243.265625,30422.571194081967,29785.825586027295,29785.875670843703,145
2025-06-03,30635.166015625,31003.888509932112,30081.711453886735,30293.7628624961,5244
2025-06-04,30853.67578125,31007.782906313263,30722.7964526119,30956.546139907852,199
2025-06-05,31265.205078125,31432.825480456642,31057.148890407578,31063.066604318545,563
2025-06-06,31315.65234375,31738.620538242867,30711.011112186567,31560.497744066168,912
2025-06-09,31376.75390625,31477.35503754181,31048.270716334602,31068.242999752827,334
2025-06-10,31215.1015625,31787.245458924186,31096.05573370875,31787.245458924186,189
2025-06-11,31189.361328125,31321.42343615333,31106.858147881907,31117.41063384636,154
2025-06-12,31043.734375,31403.333721988372,30969.418139791942,31363.439239727068,154
2025-06-13,31112.529296875,31215.94096247337,30698.191078719927,30994.0266902283,63
