Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.BO,BRITANNIA.BO,BRITANNIA.BO,BRITANNIA.BO,BRITANNIA.BO
Date,,,,,
2025-03-26,4787.119140625,4820.7785156016,4730.905473347687,4820.7785156016,8016
2025-03-27,4775.61962890625,4854.635318398646,4698.8745024339205,4698.8745024339205,17317
2025-03-28,4873.09375,4963.21404732018,4787.6625440551215,4787.6625440551215,7556
2025-04-01,4836.37451171875,4899.497707177466,4812.191159510697,4812.191159510697,5791
2025-04-02,4971.40625,4983.74469497667,4847.133528589078,4884.00089857347,4323
2025-04-03,5010.0009765625,5023.918838818839,4923.533058215773,4972.19569216575,8521
2025-04-04,4959.9072265625,5082.353769397715,4912.182022007226,4994.208105747621,11412
2025-04-07,4990.70361328125,5005.6581948529565,4466.566446713893,4466.566446713893,24032
2025-04-08,5112.11376953125,5120.948289071034,4973.479288628743,4989.963162211948,12129
2025-04-09,5267.47998046875,5281.841738211464,5094.001437114112,5107.030546351604,14999
2025-04-11,5280.31201171875,5342.596099457249,5238.015723858012,5342.596099457249,5130
2025-04-15,5319.44921875,5362.781741248,5242.950859658022,5330.3562113549115,14546
2025-04-16,5343.830078125,5372.5540765626965,5303.557583511898,5329.270711968886,3024
2025-04-17,5382.57275390625,5397.28056686841,5324.434093721873,5344.521179867631,2117
2025-04-21,5321.67041015625,5405.127463703108,5313.329428112787,5384.398875021423,2151
2025-04-22,5363.62109375,5413.122840987462,5314.563241370782,5406.6080453317745,2702
2025-04-23,5470.6689453125,5476.73984587354,5340.276643170254,5395.306108274834,3002
2025-04-24,5392.93701171875,5545.045466820021,5362.58443527329,5460.946910046142,4672
2025-04-25,5349.703125,5448.608295531647,5293.735744207272,5392.936844638564,7815
2025-04-28,5359.47509765625,5407.6446775791555,5331.195477252855,5331.195477252855,2572
2025-04-29,5398.51416015625,5463.463543001192,5330.751033436742,5330.751033436742,8910
2025-04-30,5375.6630859375,5475.357725382841,5330.208445592464,5398.316664619479,5851
2025-05-02,5237.669921875,5342.645508717424,5211.759187279152,5342.645508717424,8116
2025-05-05,5289.68896484375,5307.505486586491,5242.358497165865,5242.605266065186,1600
2025-05-06,5321.47265625,5340.227093114164,5246.751320662985,5289.689110325676,3877
2025-05-07,5279.62060546875,5325.272851882011,5249.4656387342475,5282.877762154359,2188
2025-05-08,5323.54541015625,5406.706528369881,5250.205886822519,5277.399626459072,4865
2025-05-09,5354.88525390625,5429.162694524949,5294.2789070579865,5297.634867781538,38632
2025-05-12,5536.21142578125,5546.772846120391,5347.975905353516,5478.220730978828,5399
2025-05-13,5410.35888671875,5570.955795139621,5393.233028933039,5570.955795139621,14606
2025-05-14,5412.580078125,5508.869113434905,5370.974454574869,5427.928911445716,9079
2025-05-15,5393.18359375,5459.367303424896,5384.003983248408,5422.105198673292,27891
2025-05-16,5431.482421875,5449.644516951991,5390.0744066839425,5427.8300492801045,3522
2025-05-19,5448.1640625,5469.4849929823395,5391.949911317118,5392.591896067495,5225
2025-05-20,5358.2412109375,5476.295551741901,5347.975720861143,5447.670358699271,3927
2025-05-21,5420.87158203125,5460.74934246494,5350.246029085834,5358.241438358783,4431
2025-05-22,5366.927734375,5420.920481410743,5346.54423731956,5420.920481410743,2296
2025-05-23,5418.35400390625,5428.767940871543,5340.07910008872,5374.675907754877,1189
2025-05-26,5450.73046875,5470.915876334255,5415.590479696241,5428.916000789088,3316
2025-05-27,5427.23779296875,5465.4378129851575,5406.410882562873,5439.477916468418,1299
2025-05-28,5397.1318359375,5436.812468309226,5340.0790583792505,5419.045107301679,2693
2025-05-29,5421.8583984375,5461.094654207496,5386.471641179136,5397.181508016119,1266
2025-05-30,5438.8857421875,5454.333380019026,5373.5907830528095,5390.962929257281,6349
2025-06-02,5537.0498046875,5647.257182307508,5448.657376450142,5448.70653744252,15678
2025-06-03,5499.6396484375,5562.170983842501,5473.087411297375,5538.382365583164,3651
2025-06-04,5471.90283203125,5524.464608523143,5448.657394089239,5519.5292304487875,1193
2025-06-05,5528.6103515625,5539.961720789954,5451.420848027614,5462.42712637672,6468
2025-06-06,5532.31201171875,5570.857121407484,5480.836115176302,5563.651662260178,6569
2025-06-09,5615.275390625,5644.098190471924,5527.5244675834665,5560.196765814681,6956
2025-06-10,5591.3388671875,5647.059477296694,5584.5281419781495,5641.28498867358,2492
2025-06-11,5571.794921875,5626.281687086692,5560.838286460958,5620.606002459244,845
2025-06-12,5497.9619140625,5621.24755972841,5489.966505333042,5621.1979167662585,2182
2025-06-13,5497.46875,5518.740037772327,5335.143964256739,5428.965313337645,7438
2025-06-16,5487.8935546875,5498.011079564616,5448.657299676244,5488.140323586942,1777
2025-06-17,5496.57958984375,5525.599997797501,5460.600973731687,5499.98519342113,1585
2025-06-18,5502.8974609375,5547.365025157,5474.420232697172,5488.880794242311,11113
2025-06-19,5479.8984375,5536.754091350413,5447.029011133786,5517.752885082463,4548
2025-06-20,5516.025390625,5525.698539013031,5440.366139962082,5486.166352810585,4025
