Year,Locality,Avg Price (?/sq.ft),Monthly Yield(sq. ft.),Residence Yield(sq.ft.)
2015,Andheri West," INR 23,795.00 ",47.2293,49.02089
2016,Andheri West," INR 24,762.58 ",48.69109,50.537
2017,Andheri West," INR 25,769.51 ",50.197015,51.109688
2018,Andheri West," INR 26,817.38 ",51.7495,52.6904
2019,Andheri West," INR 27,907.86 ",53.35,54.32
2020,Andheri West," INR 29,042.69 ",55,56
2021,Andheri West," INR 30,223.66 ",54,54
2022,Andheri West," INR 31,452.65 ",58,53
2023,Andheri West," INR 32,731.62 ",69.5,53.75
2024,Andheri West," INR 34,062.59 ",78.75,52
2025,Andheri West," INR 45,440.00 ",84.5,61
2015,Bandra West," INR 60,262.50 ",72.99239218,72.99239218
2016,Bandra West," INR 58,612.50 ",75.24988885,75.24988885
2017,Bandra West," INR 60,487.50 ",77.577205,77.577205
2018,Bandra West," INR 56,675.00 ",79.9765,79.9765
2019,Bandra West," INR 56,287.50 ",82.45,82.45
2020,Bandra West," INR 53,225.00 ",85,85
2021,Bandra West," INR 53,825.00 ",86.25,86.25
2022,Bandra West," INR 53,275.00 ",93.75,93.75
2023,Bandra West," INR 56,662.50 ",111.75,111.75
2024,Bandra West," INR 57,287.50 ",132.75,132.75
2025,Bandra West," INR 59,116.67 ",139.33,139.33
2015,Borivali West," INR 22,700.00 ",28.33822285,30.0556909
2016,Borivali West," INR 22,400.00 ",29.21466273,30.98524835
2017,Borivali West," INR 23,900.00 ",30.118209,31.943555
2018,Borivali West," INR 25,087.50 ",31.0497,32.9315
2019,Borivali West," INR 24,850.00 ",32.01,33.95
2020,Borivali West," INR 25,275.00 ",33,35
2021,Borivali West," INR 25,125.00 ",35.25,32.75
2022,Borivali West," INR 25,725.00 ",37.5,33.7325
2023,Borivali West," INR 27,925.00 ",42.75,42.75
2024,Borivali West," INR 29,162.50 ",51,51
2025,Borivali West," INR 30,916.67 ",55,55
2015,Dadar," INR 47,212.50 ",64.40505193,69.98682309
2016,Dadar," INR 52,262.50 ",66.39696075,72.15136402
2017,Dadar," INR 50,325.00 ",68.450475,74.3828495
2018,Dadar," INR 51,175.00 ",70.5675,76.68335
2019,Dadar," INR 48,287.50 ",72.75,79.055
2020,Dadar," INR 45,900.00 ",75,81.5
2021,Dadar," INR 48,100.00 ",72.25,83.945
2022,Dadar," INR 49,637.50 ",79.5,86.46335
2023,Dadar," INR 52,725.00 ",87.5,89.0572505
2024,Dadar," INR 50,262.50 ",97.75,91.72896802
2025,Dadar," INR 52,083.34 ",110.6666667,94.48083706
